Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,MC,17413.0,710.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,1sMC,6458.0,370.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,2sMC,6481.0,364.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,3sMC,7132.0,349.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,2MdC,20102.0,681.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee23.JPG,339523.0,450,FWL,152242.0,1945.0,"605,1364136"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,MC,16319.0,701.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,1sMC,5581.0,341.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,2sMC,6171.0,348.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,3sMC,6854.0,335.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,2MdC,19493.0,671.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee25.JPG,253088.5,437,FWL,141477.0,1867.0,"585,0987549"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,MC,16126.0,688.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,1sMC,5697.0,362.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,2sMC,5991.0,342.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,3sMC,6714.0,336.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,2MdC,18976.0,663.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee29.JPG,247045.0,430,FWL,138843.0,1827.0,"633,0197144"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,MC,18060.0,715.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,1sMC,6115.0,348.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,2sMC,6974.0,362.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,3sMC,7256.0,346.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,2MdC,20810.0,690.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee36.JPG,310613.5,455,FWL,153305.0,1942.0,"605,4602051"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,MC,15482.0,680.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,1sMC,5476.0,333.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,2sMC,5593.0,324.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,3sMC,6023.0,311.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,2MdC,17621.0,631.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee44.JPG,271141.0,408,FWL,125583.0,1819.0,"691,3145752"
Round01-Hive01-2024_06_05-h01bee46.JPG,217581.5,390,MC,13305.0,600.0,"606,1126709"
Round01-Hive01-2024_06_05-h01bee46.JPG,217581.5,390,1sMC,4428.0,299.0,"606,1126709"
Round01-Hive01-2024_06_05-h01bee46.JPG,217581.5,390,2sMC,4426.0,291.0,"606,1126709"
Round01-Hive01-2024_06_05-h01bee46.JPG,217581.5,390,3sMC,5520.0,301.0,"606,1126709"
