Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,FWL,126597,1810
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,MC,17859,711
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,1sMC,5320,328
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,2sMC,6171,352
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,3sMC,7114,347
Round01-Hive01-2024_06_27-h01b01.JPG,155665.0,330,2MdC,18855,655
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,FWL,129998,1841
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,MC,15696,687
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,1sMC,5724,343
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,2sMC,6248,345
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,3sMC,6102,320
Round01-Hive01-2024_06_27-h01b19.JPG,171074.0,326,2MdC,18179,649
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,FWL,132276,2295
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,MC,18890,757
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,1sMC,6851,371
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,2sMC,7454,376
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,3sMC,8133,366
Round01-Hive01-2024_06_27-h01b42.JPG,167132.0,393,2MdC,22269,723
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,FWL,205887,2269
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,MC,26977,901
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,1sMC,7953,395
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,2sMC,9865,436
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,3sMC,11261,432
Round01-Hive02-2024_06_07-h02bee11.JPG,209535.0,419,2MdC,28732,830
